1, MAINT01, 1/2019, 527.5882352941177, 465.58513246337054, 0, 0, 17
2, MAINT01, 12/2018, 370.5806451612903, 217.23831004377746, 0, 0, 31
3, MAINT01, 11/2018, 434.3076923076923, 335.1584849875826, 3, 0, 16
4, MAINT01, 10/2018, 736.9032258064516, 726.934384862858, 0, 0, 31
5, MAINT01, 9/2018, 1518.8333333333333, 1300.048715433387, 0, 0, 30
6, MAINT01, 8/2018, 1131.3870967741937, 1162.4655464667176, 0, 0, 31
7, MAINT01, 7/2018, 1072.483870967742, 1168.5270424818787, 0, 0, 31
8, MAINT01, 6/2018, 835.6333333333333, 1035.6155041809677, 0, 0, 30
9, MAINT01, 5/2018, 841.1612903225806, 979.4417260322474, 0, 0, 31
10, MAINT01, 4/2018, 1063.1333333333334, 1322.4481124036586, 0, 0, 30
11, MAINT01, 3/2018, 1347.0, 1570.4119810809457, 0, 0, 31
12, MAINT01, 2/2018, 1179.6296296296296, 1163.3848709798024, 0, 0, 27
13, MAINT01, 1/2018, 1164.032258064516, 1298.775449034023, 0, 0, 31
14, MAINT01, 12/2017, 868.5806451612904, 709.6933454957845, 0, 0, 31
15, MAINT01, 11/2017, 895.8, 1050.1267352086602, 0, 0, 30
16, MAINT01, 10/2017, 997.4193548387096, 910.621101118511, 0, 0, 31
17, MAINT01, 9/2017, 795.1666666666666, 880.7390717459969, 0, 0, 30
18, MAINT01, 8/2017, 882.8387096774194, 725.0083967363339, 0, 0, 31
19, MAINT01, 7/2017, 618.2258064516129, 457.66896028815233, 0, 0, 31
20, MAINT01, 6/2017, 527.6333333333333, 470.461393208837, 0, 0, 30
21, MAINT01, 5/2017, 545.2903225806451, 352.734793502635, 0, 0, 31
22, MAINT01, 4/2017, 475.2258064516129, 1213.1899127127676, 0, 0, 31
23, MAINT01, 3/2017, 700.7368421052631, 2780.1218525876625, 0, 5, 24
24, MAINT05, 1/2019, 1.0, 0.0, 0, 13, 16
25, MAINT05, 12/2018, 1.0, 0.0, 2, 26, 32
26, MBRREC01, 9/2018, 94.0, 0.0, 0, 0, 1
27, MBRREC01, 8/2018, 95.0, 0.0, 0, 0, 1
28, MBRREC01, 7/2018, 106.0, 7.44983221287567, 0, 0, 3
29, MBRREC01, 6/2018, 219.5, 104.25, 0, 0, 2
30, MBRREC01, 5/2018, 4.0, 0.0, 0, 0, 1
31, MBRREC01, 4/2018, 109.0, 0.0, 0, 0, 1
32, MBRREC01, 2/2018, 116.5, 5.25, 0, 0, 2
33, MBRREC01, 12/2017, 65.0, 0.0, 0, 0, 1
34, MBRREC01, 10/2017, 66.0, 0.0, 0, 0, 1
35, MBRREC01, 7/2017, 72.8, 12.742056348957181, 0, 0, 5
36, MBRREC01, 6/2017, 67.0, 0.0, 0, 0, 1
37, MBRREC01, 5/2017, 57.0, 0.0, 0, 0, 1
38, MBRREC01, 4/2017, 88.875, 51.33769174544177, 0, 0, 8
39, MBRREC01, 3/2017, 75.0, 15.931101656822104, 0, 0, 5
40, MBRREC01, 2/2017, 77.0, 16.5, 0, 0, 2
41, MBRREC01, 1/2017, 30.9, 43.31573039901325, 0, 3, 13
42, MBRREC02, 9/2018, 749.0, 0.0, 0, 0, 1
43, MBRREC02, 8/2018, 849.0, 0.0, 0, 0, 1
44, MBRREC02, 7/2018, 905.3333333333334, 204.19231131460364, 0, 0, 3
45, MBRREC02, 6/2018, 891.0, 10.5, 0, 0, 2
46, MBRREC02, 5/2018, 8.0, 0.0, 0, 0, 1
47, MBRREC02, 4/2018, 439.0, 0.0, 0, 0, 1
48, MBRREC02, 2/2018, 502.5, 89.25, 0, 0, 2
49, MBRREC02, 12/2017, 344.0, 0.0, 0, 0, 1
50, MBRREC02, 10/2017, 358.0, 0.0, 0, 0, 1
51, MBRREC02, 7/2017, 433.2, 168.27673636008038, 0, 0, 5
52, MBRREC02, 6/2017, 353.0, 0.0, 0, 0, 1
53, MBRREC02, 5/2017, 296.0, 0.0, 0, 0, 1
54, MBRREC02, 4/2017, 401.75, 278.9997479837572, 0, 0, 8
55, MBRREC02, 3/2017, 377.0, 95.23287247584207, 0, 0, 5
56, MBRREC02, 2/2017, 331.5, 47.25, 0, 0, 2
57, MBRREC02, 1/2017, 111.15384615384616, 207.08430236023122, 0, 0, 13
58, MBRREC03, 9/2018, 2.0, 0.0, 0, 0, 1
59, MBRREC03, 8/2018, 3.0, 0.0, 0, 0, 1
60, MBRREC03, 7/2018, 3.0, 1.224744871391589, 0, 0, 3
61, MBRREC03, 6/2018, 2.0, 0.0, 0, 0, 2
62, MBRREC03, 5/2018, 2.0, 0.0, 0, 0, 2
63, MBRREC03, 4/2018, 2.0, 0.0, 0, 0, 1
64, MBRREC03, 2/2018, 2.0, 0.0, 0, 0, 2
65, MBRREC03, 12/2017, 1.0, 0.0, 0, 0, 1
66, MBRREC03, 10/2017, 1.6666666666666667, 0.7071067811865475, 0, 0, 3
67, MBRREC03, 8/2017, 2.0, 1.5, 0, 0, 2
68, MBRREC03, 7/2017, 2.0, 1.6035674514745464, 0, 0, 7
69, MBRREC03, 6/2017, 1.0, 0.0, 0, 0, 1
70, MBRREC03, 5/2017, NaN, NaN, 0, 1, 1
71, MBRREC03, 4/2017, 1.5714285714285714, 0.7423074889580903, 0, 3, 10
72, MBRREC03, 3/2017, 1.4, 0.7348469228349535, 0, 1, 6
73, MBRREC03, 2/2017, 2.0, 0.0, 0, 1, 2
74, MBRREC03, 1/2017, 1.4545454545454546, 0.9833321660356333, 0, 9, 20
75, MBRREC04, 9/2018, 393.0, 0.0, 0, 0, 1
76, MBRREC04, 8/2018, 404.0, 0.0, 0, 0, 1
77, MBRREC04, 7/2018, 419.0, 27.68573639981426, 0, 0, 3
78, MBRREC04, 6/2018, 649.0, 315.0, 0, 0, 2
79, MBRREC04, 5/2018, 3.0, 0.0, 0, 0, 1
80, MBRREC04, 4/2018, 345.0, 0.0, 0, 0, 1
81, MBRREC04, 2/2018, 305.0, 19.5, 0, 0, 2
82, MBRREC04, 12/2017, 310.0, 0.0, 0, 0, 1
83, MBRREC04, 10/2017, 270.0, 0.0, 0, 0, 1
84, MBRREC04, 7/2017, 228.6, 11.486513831445988, 0, 0, 5
85, MBRREC04, 6/2017, 278.0, 0.0, 0, 0, 1
86, MBRREC04, 5/2017, 203.0, 0.0, 0, 0, 1
87, MBRREC04, 4/2017, 277.44444444444446, 92.91961878718378, 0, 0, 9
88, MBRREC04, 3/2017, 260.4, 50.722184495543964, 0, 0, 5
89, MBRREC04, 2/2017, 248.0, 72.0, 0, 0, 2
90, MBRREC04, 1/2017, 585.2222222222222, 785.8771461805521, 0, 2, 11
91, MBRREC05, 9/2018, 1719.0, 0.0, 0, 0, 1
92, MBRREC05, 8/2018, 1736.0, 0.0, 0, 0, 1
93, MBRREC05, 7/2018, 1771.3333333333333, 120.55704044144414, 0, 0, 3
94, MBRREC05, 6/2018, 2164.0, 382.5, 0, 0, 2
95, MBRREC05, 5/2018, 2.0, 0.0, 0, 0, 2
96, MBRREC05, 4/2018, 1479.0, 0.0, 0, 0, 1
97, MBRREC05, 2/2018, 1485.0, 316.5, 0, 0, 2
98, MBRREC05, 12/2017, 1140.0, 0.0, 0, 0, 1
99, MBRREC05, 10/2017, 1161.0, 0.0, 0, 0, 1
100, MBRREC05, 7/2017, 2927.4, 4950.239776010856, 0, 0, 5
101, MBRREC05, 6/2017, 1382.0, 0.0, 0, 0, 1
102, MBRREC05, 5/2017, 1016.0, 0.0, 0, 0, 1
103, MBRREC05, 4/2017, 1349.2222222222222, 556.1069041909917, 0, 0, 9
104, MBRREC05, 3/2017, 1354.8, 283.2632344657527, 0, 0, 5
105, MBRREC05, 2/2017, 1329.0, 318.0, 0, 0, 2
106, MBRREC05, 1/2017, 4191.777777777777, 7114.004525503823, 0, 3, 12
107, MBRREC06, 9/2018, 11255.0, 0.0, 0, 0, 1
108, MBRREC06, 8/2018, 11678.0, 0.0, 0, 0, 1
109, MBRREC06, 7/2018, 15771.666666666666, 5979.293561951947, 0, 0, 3
110, MBRREC06, 6/2018, 12070.5, 1937.25, 0, 0, 2
111, MBRREC06, 5/2018, 3.0, 0.0, 0, 0, 1
112, MBRREC06, 4/2018, 6136.0, 0.0, 0, 0, 1
113, MBRREC06, 2/2018, 5698.5, 284.25, 0, 0, 2
114, MBRREC06, 12/2017, 7931.0, 0.0, 0, 0, 1
115, MBRREC06, 10/2017, 4948.0, 0.0, 0, 0, 1
116, MBRREC06, 7/2017, 4924.4, 259.9662285759441, 0, 0, 5
117, MBRREC06, 6/2017, 6702.0, 0.0, 0, 0, 1
118, MBRREC06, 5/2017, 4369.0, 0.0, 0, 0, 1
119, MBRREC06, 4/2017, 5434.625, 1285.108517730604, 0, 0, 8
120, MBRREC06, 3/2017, 5431.6, 765.1409281955841, 0, 0, 5
121, MBRREC06, 2/2017, 4959.5, 953.25, 0, 0, 2
122, MBRREC06, 1/2017, 527.1818181818181, 868.249921174678, 0, 3, 14
123, MBRREC07, 9/2018, 2.0, 0.0, 0, 0, 1
124, MBRREC07, 8/2018, 3.0, 0.0, 0, 0, 1
125, MBRREC07, 7/2018, 3.3333333333333335, 1.414213562373095, 0, 0, 3
126, MBRREC07, 6/2018, 4.0, 1.5, 0, 0, 2
127, MBRREC07, 5/2018, 3.0, 0.0, 0, 0, 1
128, MBRREC07, 4/2018, 2.0, 0.0, 0, 0, 1
129, MBRREC07, 2/2018, 1.5, 0.75, 0, 0, 2
130, MBRREC07, 12/2017, 1.0, 0.0, 0, 0, 1
131, MBRREC07, 10/2017, 3.0, 0.0, 0, 0, 1
132, MBRREC07, 7/2017, 1.4, 0.7348469228349535, 0, 0, 5
133, MBRREC07, 6/2017, 1.0, 0.0, 0, 0, 1
