_id,jobcode,date,mean,std
1,MAINT01,Nov-18,429.5,347.8736301
2,MAINT01,Oct-18,714.8387097,719.5119411
3,MAINT01,Sep-18,1450.7,1213.033109
4,MAINT01,Aug-18,1198.419355,1287.56624
5,MAINT01,Jul-18,1097.741935,1152.13841
6,MAINT01,Jun-18,838.9666667,1031.782425
7,MAINT01,May-18,807.9354839,983.2923746
8,MAINT01,Apr-18,1086.6,1316.932151
9,MAINT01,Mar-18,1356.903226,1557.297117
10,MAINT01,Feb-18,1155.37037,1189.460392
11,MAINT01,Jan-18,1182.451613,1281.889404
12,MAINT01,Dec-17,863.5483871,716.4586131
13,MAINT01,Nov-17,901.1333333,1044.851645
14,MAINT01,Oct-17,964.9354839,920.1765733
15,MAINT01,Sep-17,806.6,892.1330842
16,MAINT01,Aug-17,888.8709677,725.8063
17,MAINT01,Jul-17,625.5483871,461.2410249
18,MAINT01,Jun-17,545.1,454.280863
19,MAINT01,May-17,523.2258065,367.6558346
20,MAINT01,Apr-17,547.7647059,434.7971726
21,MAINT01,Mar-17,59,0
22,MAINT01,Apr-17,467.6153846,1788.986841
23,MAINT01,Mar-17,842.0666667,3089.260031
24,MAINT01,Jan-17,163,0
25,MAINT01,Mar-17,188,394.5674847
26,MAINT01,Jan-17,6,0
27,MBRREC01,Aug-18,94,0
28,MBRREC01,Jul-18,103.3333333,11.11305539
29,MBRREC01,Jun-18,126.5,35.25
30,MBRREC01,May-18,289,0
31,MBRREC01,Apr-18,4,0
32,MBRREC01,Feb-18,111,3
33,MBRREC01,Dec-17,120,0
34,MBRREC01,Oct-17,65,0
35,MBRREC01,Jul-17,69.2,9.87724658
36,MBRREC01,Jun-17,84,0
37,MBRREC01,May-17,67,0
38,MBRREC01,Apr-17,85.75,53.72194035
39,MBRREC01,Mar-17,79.6,10.63202709
40,MBRREC01,Feb-17,59,0
41,MBRREC01,Jan-16,77,16.5
42,MBRREC01,Jan-17,61.33333333,11.3137085
43,MBRREC01,Jan-16,57,0
44,MBRREC01,Jan-17,11.33333333,30.07074991
45,MBRREC01,Dec-16,NaN,NaN
46,MBRREC02,Aug-18,749,0
47,MBRREC02,Jul-18,947.3333333,123.1726431
48,MBRREC02,Jun-18,803.5,120.75
49,MBRREC02,May-18,898,0
50,MBRREC02,Apr-18,8,0
51,MBRREC02,Feb-18,441,3
52,MBRREC02,Dec-17,562,0
53,MBRREC02,Oct-17,344,0
54,MBRREC02,Jul-17,417.8,174.145801
55,MBRREC02,Jun-17,435,0
56,MBRREC02,May-17,353,0
57,MBRREC02,Apr-17,394.25,283.3211241
58,MBRREC02,Mar-17,388.4,78.97809823
59,MBRREC02,Feb-17,299,0
60,MBRREC02,Jan-16,331.5,47.25
61,MBRREC02,Jan-17,295.3333333,58.03447251
62,MBRREC02,Jan-16,265,0
63,MBRREC02,Jan-17,36.125,131.5655582
64,MBRREC02,Dec-16,5,0
65,MBRREC03,Aug-18,2,0
66,MBRREC03,Jul-18,2.666666667,0.707106781
67,MBRREC03,Jun-18,3,1.5
68,MBRREC03,May-18,2,0
69,MBRREC03,Jul-17,2,0
70,MBRREC03,Apr-18,2,0
71,MBRREC03,Feb-18,2,0
72,MBRREC03,Dec-17,2,0
73,MBRREC03,Oct-17,1.333333333,0.707106781
74,MBRREC03,Aug-17,1.5,0.75
75,MBRREC03,Jul-17,1.833333333,1.346291202
76,MBRREC03,Jun-17,2,0
77,MBRREC03,Feb-17,4,0
78,MBRREC03,May-17,1,0
79,MBRREC03,Apr-17,1.5,0.75
80,MBRREC03,Mar-17,1.5,0.75
81,MBRREC03,Feb-17,NaN,NaN
82,MBRREC03,Jan-16,2,0
83,MBRREC03,Jan-17,2,1.5
84,MBRREC03,Jan-16,1,0
85,MBRREC03,Jan-17,1.428571429,0.742307489
86,MBRREC03,Dec-16,1,0
87,MBRREC04,Aug-18,393,0
