1, MAINT01, 11/2018, 429.5, 347.87363007276076
2, MAINT01, 10/2018, 714.8387096774194, 719.5119411119634
3, MAINT01, 9/2018, 1450.7, 1213.0331085753596
4, MAINT01, 8/2018, 1198.4193548387098, 1287.566239872867
5, MAINT01, 7/2018, 1097.741935483871, 1152.1384095117292
6, MAINT01, 6/2018, 838.9666666666667, 1031.7824249811583
7, MAINT01, 5/2018, 807.9354838709677, 983.2923745562974
8, MAINT01, 4/2018, 1086.6, 1316.9321508718663
9, MAINT01, 3/2018, 1356.9032258064517, 1557.2971166650768
10, MAINT01, 2/2018, 1155.3703703703704, 1189.460392233116
11, MAINT01, 1/2018, 1182.4516129032259, 1281.889404094138
12, MAINT01, 12/2017, 863.5483870967741, 716.4586131304615
13, MAINT01, 11/2017, 901.1333333333333, 1044.8516449716676
14, MAINT01, 10/2017, 964.9354838709677, 920.176573337219
15, MAINT01, 9/2017, 806.6, 892.1330842424802
16, MAINT01, 8/2017, 888.8709677419355, 725.8062999999842
17, MAINT01, 7/2017, 625.5483870967741, 461.2410248866655
18, MAINT01, 6/2017, 545.1, 454.28086301318046
19, MAINT01, 5/2017, 523.2258064516129, 367.6558345723746
20, MAINT01, 4/2017, 547.7647058823529, 434.7971726160129
21, MAINT01, 3/2017, 59.0, 0.0
22, MAINT01, 4/2017, 467.61538461538464, 1788.986840968866
23, MAINT01, 3/2017, 842.0666666666667, 3089.2600311401434
24, MAINT01, 1/2017, 163.0, 0.0
25, MAINT01, 3/2017, 188.0, 394.56748472219556
26, MAINT01, 1/2017, 6.0, 0.0
27, MBRREC01, 8/2018, 94.0, 0.0
28, MBRREC01, 7/2018, 103.33333333333333, 11.113055385446435
29, MBRREC01, 6/2018, 126.5, 35.25
30, MBRREC01, 5/2018, 289.0, 0.0
31, MBRREC01, 4/2018, 4.0, 0.0
32, MBRREC01, 2/2018, 111.0, 3.0
33, MBRREC01, 12/2017, 120.0, 0.0
34, MBRREC01, 10/2017, 65.0, 0.0
35, MBRREC01, 7/2017, 69.2, 9.877246579892597
36, MBRREC01, 6/2017, 84.0, 0.0
37, MBRREC01, 5/2017, 67.0, 0.0
38, MBRREC01, 4/2017, 85.75, 53.72194035028891
39, MBRREC01, 3/2017, 79.6, 10.63202708800161
40, MBRREC01, 2/2017, 59.0, 0.0
41, MBRREC01, 1/2016, 77.0, 16.5
42, MBRREC01, 1/2017, 61.333333333333336, 11.31370849898476
43, MBRREC01, 1/2016, 57.0, 0.0
44, MBRREC01, 1/2017, 11.333333333333334, 30.070749907509793
45, MBRREC01, 12/2016, NaN, NaN
46, MBRREC02, 8/2018, 749.0, 0.0
47, MBRREC02, 7/2018, 947.3333333333334, 123.1726430665511
48, MBRREC02, 6/2018, 803.5, 120.75
49, MBRREC02, 5/2018, 898.0, 0.0
50, MBRREC02, 4/2018, 8.0, 0.0
51, MBRREC02, 2/2018, 441.0, 3.0
52, MBRREC02, 12/2017, 562.0, 0.0
53, MBRREC02, 10/2017, 344.0, 0.0
54, MBRREC02, 7/2017, 417.8, 174.14580098296943
55, MBRREC02, 6/2017, 435.0, 0.0
56, MBRREC02, 5/2017, 353.0, 0.0
57, MBRREC02, 4/2017, 394.25, 283.3211241241994
58, MBRREC02, 3/2017, 388.4, 78.97809822982572
59, MBRREC02, 2/2017, 299.0, 0.0
60, MBRREC02, 1/2016, 331.5, 47.25
61, MBRREC02, 1/2017, 295.3333333333333, 58.034472514187634
62, MBRREC02, 1/2016, 265.0, 0.0
63, MBRREC02, 1/2017, 36.125, 131.56555815923102
64, MBRREC02, 12/2016, 5.0, 0.0
65, MBRREC03, 8/2018, 2.0, 0.0
66, MBRREC03, 7/2018, 2.6666666666666665, 0.7071067811865475
67, MBRREC03, 6/2018, 3.0, 1.5
68, MBRREC03, 5/2018, 2.0, 0.0
69, MBRREC03, 7/2017, 2.0, 0.0
70, MBRREC03, 4/2018, 2.0, 0.0
71, MBRREC03, 2/2018, 2.0, 0.0
72, MBRREC03, 12/2017, 2.0, 0.0
73, MBRREC03, 10/2017, 1.3333333333333333, 0.7071067811865475
74, MBRREC03, 8/2017, 1.5, 0.75
75, MBRREC03, 7/2017, 1.8333333333333333, 1.3462912017836262
76, MBRREC03, 6/2017, 2.0, 0.0
77, MBRREC03, 2/2017, 4.0, 0.0
78, MBRREC03, 5/2017, 1.0, 0.0
79, MBRREC03, 4/2017, 1.5, 0.75
80, MBRREC03, 3/2017, 1.5, 0.75
81, MBRREC03, 2/2017, NaN, NaN
82, MBRREC03, 1/2016, 2.0, 0.0
83, MBRREC03, 1/2017, 2.0, 1.5
84, MBRREC03, 1/2016, 1.0, 0.0
85, MBRREC03, 1/2017, 1.4285714285714286, 0.7423074889580903
86, MBRREC03, 12/2016, 1.0, 0.0
87, MBRREC04, 8/2018, 393.0, 0.0
88, MBRREC04, 7/2018, 420.3333333333333, 25.70019455179279
89, MBRREC04, 6/2018, 419.5, 29.25
90, MBRREC04, 5/2018, 859.0, 0.0
91, MBRREC04, 4/2018, 3.0, 0.0
92, MBRREC04, 2/2018, 318.5, 39.75
93, MBRREC04, 12/2017, 318.0, 0.0
94, MBRREC04, 10/2017, 310.0, 0.0
95, MBRREC04, 7/2017, 235.2, 27.811148843584295
96, MBRREC04, 6/2017, 237.0, 0.0
97, MBRREC04, 5/2017, 278.0, 0.0
98, MBRREC04, 4/2017, 203.0, 0.0
99, MBRREC04, 2/2017, 249.0, 0.0
100, MBRREC04, 4/2017, 285.57142857142856, 102.13811177788152
101, MBRREC04, 3/2017, 265.8, 43.61261285454014
102, MBRREC04, 2/2017, 222.0, 0.0
103, MBRREC04, 1/2016, 248.0, 72.0
104, MBRREC04, 1/2017, 1077.0, 70.09992867328754
105, MBRREC04, 1/2016, 1047.0, 0.0
106, MBRREC04, 1/2017, 197.8, 590.4000000000001
107, MBRREC04, 12/2016, NaN, NaN
108, MBRREC05, 8/2018, 1719.0, 0.0
109, MBRREC05, 7/2018, 1788.6666666666667, 95.25754563287887
110, MBRREC05, 6/2018, 1796.5, 168.75
111, MBRREC05, 5/2018, 1210.5, 1812.75
112, MBRREC05, 4/2018, 2.0, 0.0
113, MBRREC05, 2/2018, 1587.5, 162.75
114, MBRREC05, 12/2017, 1274.0, 0.0
115, MBRREC05, 10/2017, 1140.0, 0.0
116, MBRREC05, 7/2017, 2909.2, 4964.380148618758
117, MBRREC05, 6/2017, 1252.0, 0.0
118, MBRREC05, 5/2017, 1382.0, 0.0
119, MBRREC05, 4/2017, 1327.7777777777778, 575.381515943021
120, MBRREC05, 3/2017, 1372.0, 254.8711439139394
121, MBRREC05, 2/2017, 1123.0, 0.0
122, MBRREC05, 1/2016, 1329.0, 318.0
123, MBRREC05, 1/2017, 9572.333333333334, 5815.375654246251
124, MBRREC05, 1/2016, 4686.0, 0.0
125, MBRREC05, 1/2017, 864.6, 2589.3000868960708
126, MBRREC05, 12/2016, NaN, NaN
